"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1022.6,26046.2,23519.8,-2526.4,-9.7,-1.64,""
"HDFCBANK",6,716.85,990,4301.1,5940,1638.9,38.1,-1.25,""
"IRFC",27,146.85,116.42,3964.95,3143.34,-821.61,-20.72,-0.57,""
"JPASSOCIAT-BE",30,16.25,3.46,487.61,103.8,-383.81,-78.71,4.85,""
"JSWENERGY",1,728.7,484.15,728.7,484.15,-244.55,-33.56,-1.56,""
"NHPC",13,89.95,77.27,1169.35,1004.51,-164.84,-14.1,-0.16,""
"TATASTEEL",30,164.85,167.75,4945.5,5032.5,87,1.76,-0.53,""
"TMCV",10,239.54,355,2395.44,3550,1154.57,48.2,-1.13,""
"TMPV",10,529.46,361.75,5294.57,3617.5,-1677.06,-31.68,-0.56,""
"UJJIVANSFB",6,44.82,54.96,268.92,329.76,60.84,22.62,-1.29,""
"VIKASLIFE",159,4.94,1.87,785.36,297.33,-488.03,-62.14,-0.53,""
