Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,23,1132.44,1010.9,26046.2,23250.7,-2795.5,-10.73,-1.15
HDFCBANK,6,716.85,1000.45,4301.1,6002.7,1701.6,39.56,1.06
IRFC,27,146.85,114.71,3964.95,3097.17,-867.78,-21.89,-1.47
JPASSOCIAT,30,16.25,3.63,487.61,108.9,-378.71,-77.67,4.91
JSWENERGY,1,728.7,470.15,728.7,470.15,-258.55,-35.48,-2.92
NHPC,13,89.95,76.83,1169.35,998.79,-170.56,-14.59,-0.58
TATASTEEL,30,164.85,166.92,4945.5,5007.6,62.1,1.26,-0.51
TMCV,10,239.54,360.35,2395.44,3603.5,1208.07,50.43,1.51
TMPV,10,529.46,356.85,5294.57,3568.5,-1726.06,-32.6,-1.35
UJJIVANSFB,6,44.82,53.83,268.92,322.98,54.06,20.1,-2.06
VIKASLIFE,159,4.94,1.86,785.36,295.74,-489.62,-62.34,-0.53
