Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,23,1132.44,1013.4,26046.2,23308.2,-2738,-10.51,0.08
HDFCBANK,6,716.85,997.2,4301.1,5983.2,1682.1,39.11,-0.33
IRFC,27,146.85,114.85,3964.95,3100.95,-864,-21.79,0.09
JPASSOCIAT,30,16.25,3.81,487.61,114.3,-373.31,-76.56,4.96
JSWENERGY,1,728.7,459.85,728.7,459.85,-268.85,-36.89,-2.2
NHPC,13,89.95,76.89,1169.35,999.57,-169.78,-14.52,0.08
TATASTEEL,30,164.85,166.77,4945.5,5003.1,57.6,1.16,-0.09
TMCV,10,239.54,356.45,2395.44,3564.5,1169.07,48.8,-1.1
TMPV,10,529.46,356.45,5294.57,3564.5,-1730.06,-32.68,-0.11
UJJIVANSFB,6,44.82,54.02,268.92,324.12,55.2,20.53,0.35
VIKASLIFE,159,4.94,1.83,785.36,290.97,-494.39,-62.95,-1.61
