"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,999.55,26046.2,22989.65,-3056.55,-11.74,0.48,""
"HDFCBANK",6,716.85,996.85,4301.1,5981.1,1680,39.06,-0.62,""
"IRFC",27,146.85,113.7,3964.95,3069.9,-895.05,-22.57,2.02,""
"JSWENERGY",1,728.7,452.25,728.7,452.25,-276.45,-37.94,-0.35,""
"NHPC",13,89.95,76.47,1169.35,994.11,-175.24,-14.99,0.05,""
"TATASTEEL",30,164.85,160.99,4945.5,4829.7,-115.8,-2.34,-1.52,""
"TMCV",10,239.54,373.5,2395.44,3735,1339.57,55.92,3.62,""
"TMPV",10,529.46,345.5,5294.57,3455,-1839.56,-34.74,-0.8,""
"UJJIVANSFB",6,44.82,52.42,268.92,314.52,45.6,16.96,0.85,""
"VIKASLIFE",159,4.94,1.83,785.36,290.97,-494.39,-62.95,2.81,""
