"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1018.8,26046.2,23432.4,-2613.8,-10.04,2.89,""
"HDFCBANK",6,716.85,1000.2,4301.1,6001.2,1700.1,39.53,0.99,""
"IRFC",27,146.85,113.2,3964.95,3056.4,-908.55,-22.91,0.85,""
"JSWENERGY",1,728.7,457.45,728.7,457.45,-271.25,-37.22,1.4,""
"NHPC",13,89.95,76.69,1169.35,996.97,-172.38,-14.74,-0.23,""
"TATASTEEL",30,164.85,166.4,4945.5,4992,46.5,0.94,2.57,""
"TMCV",10,239.54,372.65,2395.44,3726.5,1331.06,55.57,-1.42,""
"TMPV",10,529.46,346.95,5294.57,3469.5,-1825.06,-34.47,1.03,""
"UJJIVANSFB",6,44.82,52.95,268.92,317.7,48.78,18.14,-0.49,""
"VIKASLIFE",159,4.94,1.81,785.36,287.79,-497.57,-63.36,-0.55,""
