"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1017.7,26046.2,23407.1,-2639.1,-10.13,0.42,""
"HDFCBANK",6,716.85,1003.1,4301.1,6018.6,1717.5,39.93,0.59,""
"IRFC",27,146.85,114.6,3964.95,3094.2,-870.75,-21.96,-0.22,""
"JPASSOCIAT",30,16.25,4,487.61,120,-367.61,-75.39,4.99,""
"JSWENERGY",1,728.7,461.95,728.7,461.95,-266.75,-36.61,0.46,""
"NHPC",13,89.95,77.07,1169.35,1001.91,-167.44,-14.32,0.23,""
"TATASTEEL",30,164.85,167.11,4945.5,5013.3,67.8,1.37,0.2,""
"TMCV",10,239.54,359.45,2395.44,3594.5,1199.07,50.06,0.81,""
"TMPV",10,529.46,353.5,5294.57,3535,-1759.56,-33.23,-0.83,""
"UJJIVANSFB",6,44.82,53.38,268.92,320.28,51.36,19.1,-1.18,""
"VIKASLIFE",159,4.94,1.84,785.36,292.56,-492.8,-62.75,0.55,""
