"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1039.95,26046.2,23918.85,-2127.35,-8.17,2.08,""
"HDFCBANK",6,716.85,1001.5,4301.1,6009,1707.9,39.71,0.12,""
"IRFC",27,146.85,113.82,3964.95,3073.14,-891.81,-22.49,0.47,""
"JSWENERGY",1,728.7,482.05,728.7,482.05,-246.65,-33.85,5.3,""
"NHPC",13,89.95,77.13,1169.35,1002.69,-166.66,-14.25,0.57,""
"TATASTEEL",30,164.85,171.89,4945.5,5156.7,211.2,4.27,3.31,""
"TMCV",10,239.54,373.45,2395.44,3734.5,1339.07,55.9,0.17,""
"TMPV",10,529.46,347.45,5294.57,3474.5,-1820.06,-34.38,0.23,""
"UJJIVANSFB",6,44.82,53.02,268.92,318.12,49.2,18.3,0.04,""
"VIKASLIFE",159,4.94,1.81,785.36,287.79,-497.57,-63.36,0,""
